version,embedding_key,embedding_label,ratio,n_participants,n_folds,K_mode,tau_mean,scoring_convention,rounded_primary,item_r_mean,item_r_ci_lower,item_r_ci_upper,item_mae_mean,item_mae_ci_lower,item_mae_ci_upper,item_rmse_mean,item_rmse_ci_lower,item_rmse_ci_upper,rounded_accuracy_mean,rounded_accuracy_ci_lower,rounded_accuracy_ci_upper,rounded_mae_mean,rounded_mae_ci_lower,rounded_mae_ci_upper,profile_r_mean,profile_r_ci_lower,profile_r_ci_upper,trait_r_mean,trait_r_mean_ci_lower,trait_r_mean_ci_upper,jaccard_mean_vs_s_old,jaccard_min_vs_s_old,jaccard_max_vs_s_old,selection_changed_any_fold,delta_item_r_vs_sbert,delta_item_r_vs_sbert_ci_lower,delta_item_r_vs_sbert_ci_upper,p_vs_sbert_raw,p_vs_sbert_holm,p_vs_sbert_bh,delta_item_r_selection_vs_A,delta_item_r_selection_vs_A_ci_lower,delta_item_r_selection_vs_A_ci_upper,p_selection_raw,p_selection_holm,p_selection_bh
A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2866200868824878,0.2806324415681525,0.292607732196823,1.0185200889969457,1.012209948473462,1.0248302295204288,1.2476723210910752,1.2405151622165518,1.2548294799655986,0.2971504789620467,0.2939024952330075,0.300398462691086,0.9935532112687442,0.9868591128410656,1.0002473096964228,0.6993929005414944,0.6881192387224945,0.7106665623604943,0.6077965378169858,0.5870392024581903,0.6285538731757814,,,,,0.0103054022327632,0.0070914595885515,0.0135302300203206,0.0,0.0,0.0,,,,,,
A1_fixed,e5_base_v2,E5-base-v2,10,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2281345132593158,0.2223938885054867,0.233875138013145,1.051237280955627,1.044633172223377,1.0578413896878769,1.2684581987954346,1.2612945665823236,1.2756218310085456,0.2733761771957479,0.2698930677631893,0.2768592866283066,1.0290246958489957,1.0220105015387382,1.0360388901592528,0.6707604663341227,0.6595312027860059,0.6819897298822395,0.5186964568457391,0.4957634796118698,0.5416294340796083,,,,,-0.0481801713904087,-0.0523841520833845,-0.0440679098716069,0.0,0.0,0.0,,,,,,
A1_fixed,minilm_l6_v2,MiniLM-L6-v2,10,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2668682580011084,0.2607601513392036,0.2729763646630133,1.0200409552792928,1.0135422698388843,1.0265396407197014,1.2702132660884222,1.262696221157674,1.2777303110191705,0.3098257952386726,0.3069271948987607,0.3127243955785844,0.9994947657734128,0.9926606848090656,1.0063288467377598,0.6854579010395018,0.6738361940118954,0.6970796080671081,0.6390233836158966,0.6159314409815312,0.662115326250262,,,,,-0.0094464266486161,-0.0136961527182525,-0.005093928126698,0.0,0.0,0.0,,,,,,
A1_fixed,mpnet_base_v2,MPNet-base-v2,10,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2884928857949109,0.2825184736533933,0.2944672979364284,1.0110665918564965,1.004659528375467,1.017473655337526,1.2562917593805396,1.2488784069414258,1.2637051118196534,0.3080958732468372,0.3051648043632825,0.3110269421303919,0.9898225617396226,0.9831049533914762,0.996540170087769,0.688420314821884,0.6767981619416408,0.7000424677021273,0.6371678602932039,0.6110251595524466,0.6633105610339612,,,,,0.0121782011451862,0.0088015519182186,0.0156320952429576,0.0,0.0,0.0,,,,,,
A1_fixed,sbert_original,SBERT (original),10,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2763146846497246,0.270688910406446,0.2819404588930031,1.0207648330386812,1.0142822226253834,1.027247443451979,1.2918093434716502,1.2841123086316293,1.2995063783116712,0.32187462107433,0.3191282952241522,0.3246209469245078,1.003524513964674,0.99673537540463,1.0103136525247178,0.69283003436438,0.6812128796696048,0.7044471890591552,0.6429865301648989,0.6149553978563443,0.6710176624734535,,,,,,,,,,,,,,,,
A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4117905365292918,0.4062243233194162,0.4173567497391674,0.9378067914276362,0.9319762393640396,0.943637343491233,1.159253111548083,1.1526363914730593,1.1658698316231069,0.3267369952710076,0.3235524644704987,0.3299215260715165,0.910694798108403,0.904444272479086,0.91694532373772,0.902878138456454,0.8979720905991152,0.9077841863137928,0.8726811213633139,0.8661633931269623,0.8791988495996654,,,,,0.0424638709988457,0.0390292570366568,0.045893555097689,0.0,0.0,0.0,,,,,,
A1_fixed,e5_base_v2,E5-base-v2,30,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.3901082268336482,0.3844712597981037,0.3957451938691927,0.95948111651666,0.9534600618644958,0.9655021711688244,1.162208556674952,1.1556988022251669,1.1687183111247372,0.3003066049992204,0.2970501173066051,0.3035630926918358,0.9349633633009408,0.9285232423568524,0.9414034842450288,0.9045319155917564,0.8995793084667025,0.90948452271681,0.8587316874780081,0.8508729571353079,0.8665904178207083,,,,,0.020781561303202,0.0169729258477175,0.0245675982816671,0.0,0.0,0.0,,,,,,
A1_fixed,minilm_l6_v2,MiniLM-L6-v2,30,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4041621165437622,0.3981993941340921,0.4101248389534322,0.9285993308391124,0.9225466393497626,0.9346520223284622,1.1657534953434612,1.15880753401914,1.1726994566677824,0.3423166865873305,0.3393291157242744,0.3453042574503866,0.9036013095671152,0.897201518345402,0.9100011007888286,0.9006798307539409,0.8957381317307008,0.9056215297771808,0.8744299674842594,0.8658801881876823,0.8829797467808365,,,,,0.034835451013316,0.0307346921396999,0.0388411633728889,0.0,0.0,0.0,,,,,,
A1_fixed,mpnet_base_v2,MPNet-base-v2,30,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4391286192892916,0.4332682038357635,0.4449890347428196,0.903873793070903,0.8979876221104766,0.9097599640313294,1.1450534672115804,1.1381472028342232,1.1519597315889376,0.3554175544353791,0.3524013707004748,0.3584337381702834,0.8798887907290963,0.8736137804110109,0.8861638010471817,0.9042914640999332,0.8992293778018181,0.909353550398048,0.8877667002221947,0.8792794588848123,0.8962539415595772,,,,,0.0698019537588454,0.0662885091901371,0.0733630568911306,0.0,0.0,0.0,,,,,,
A1_fixed,sbert_original,SBERT (original),30,2749,5,7,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.3693266655304461,0.3639096616350068,0.3747436694258854,0.9468409688080922,0.9408032667717928,0.9528786708443916,1.2193903690647347,1.2121765537830398,1.2266041843464297,0.3590552408668087,0.3561374163525875,0.3619730653810299,0.9222470508756432,0.9158957451762108,0.9285983565750754,0.8805143978384075,0.874791716891505,0.8862370787853099,0.8583583848106955,0.8469685765541997,0.8697481930671913,,,,,,,,,,,,,,,,
A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4765948030703788,0.4706253855028708,0.4825642206378868,0.8893097954413367,0.8833244126477908,0.8952951782348826,1.0892612587474786,1.0825995053646753,1.095923012130282,0.3337650054565296,0.3300822282954317,0.3374477826176276,0.8622626409603492,0.8556939639621903,0.8688313179585081,0.9597913862823826,0.95743334876814,0.962149423796625,0.9418315525552646,0.937150749150943,0.9465123559595864,,,,,0.0480050912808379,0.0443749342387677,0.0517415538312746,0.0,0.0,0.0,,,,,,
A1_fixed,e5_base_v2,E5-base-v2,50,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4486700243948257,0.4427401773632208,0.4545998714264306,0.9192351295036204,0.9130532946630664,0.9254169643441744,1.1109070809497943,1.1042967098660417,1.1175174520335474,0.3097271735176428,0.3059947871071374,0.3134595599281481,0.8949508912331758,0.8882653702981973,0.9016364121681544,0.9602088903900288,0.9578103788754948,0.9626074019045626,0.936321102123463,0.9314229323717456,0.9412192718751804,,,,,0.0200803126052849,0.0158198631186476,0.0243701322351882,0.0,0.0,0.0,,,,,,
A1_fixed,minilm_l6_v2,MiniLM-L6-v2,50,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4469040262314689,0.4407068125944636,0.4531012398684743,0.8820264717563905,0.8758532072888189,0.8881997362239621,1.1094722313554457,1.1024306638395642,1.1165137988713272,0.3601673335758457,0.3567730017243601,0.3635616654273313,0.8555765732993814,0.8489617278574546,0.8621914187413082,0.954930931225173,0.9523399087145396,0.9575219537358064,0.943029199158988,0.938213248755518,0.9478451495624578,,,,,0.0183143144419281,0.0141992505926459,0.0224508075830882,0.0,0.0,0.0,,,,,,
A1_fixed,mpnet_base_v2,MPNet-base-v2,50,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4814840358207509,0.4751935956195629,0.4877744760219389,0.8540690644837376,0.8480533222624504,0.8600848067050249,1.083642620574905,1.0766215794390273,1.0906636617107828,0.3745652964714441,0.3711235766071297,0.3780070163357584,0.8279810840305565,0.8214598835222693,0.8345022845388437,0.9515072873698328,0.9486535515850556,0.95436102315461,0.946320540937908,0.9414962217470444,0.9511448601287714,,,,,0.05289432403121,0.0495231704343569,0.0562340364240524,0.0,0.0,0.0,,,,,,
A1_fixed,sbert_original,SBERT (original),50,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4285897117895408,0.4225795524377921,0.4345998711412895,0.8849274836275093,0.8787305327604165,0.8911244344946021,1.1424551624963215,1.1351268296115615,1.1497834953810817,0.3806911604219716,0.3773969417327778,0.3839853791111653,0.8605893052018917,0.8540145129904337,0.8671640974133497,0.9431270358425694,0.9400256208728288,0.94622845081231,0.9412585827305826,0.935776505655677,0.9467406598054882,,,,,,,,,,,,,,,,
A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,90,2749,5,3,0.03,heldout_unselected_items_only_phase2_convention,False,0.5890712334408718,0.578139320556085,0.6000031463256585,0.6842769214704268,0.6735486039928941,0.6950052389479596,0.9752831390346424,0.9622621476301644,0.9883041304391206,0.5039287013459439,0.4973251546354681,0.5105322480564197,0.677519097853765,0.6662256606481961,0.6888125350593338,0.993966973456042,0.993344977695486,0.994588969216598,0.9939554015822284,0.9935008237564222,0.9944099794080348,,,,,-0.0121966352330512,-0.017199118882729,-0.0072800155864202,0.0,0.0,0.0,,,,,,
A1_fixed,e5_base_v2,E5-base-v2,90,2749,5,3,0.03,heldout_unselected_items_only_phase2_convention,False,0.606923191421802,0.5961405100339477,0.6177058728096562,0.6919591165136321,0.682191461782046,0.7017267712452181,0.9305014044786932,0.918464284541796,0.9425385244155904,0.4963259367042561,0.4896413684592895,0.5030105049492227,0.6619497999272462,0.6511500663356887,0.6727495335188037,0.9939599834756272,0.9933324952545944,0.9945874716966604,0.9942179333707728,0.9936148161888362,0.9948210505527094,,,,,0.005655322747879,0.0012265920091268,0.0102293735182793,0.0124,0.0124,0.0124,,,,,,
A1_fixed,minilm_l6_v2,MiniLM-L6-v2,90,2749,5,3,0.03,heldout_unselected_items_only_phase2_convention,False,0.5561770501326964,0.5449755926457881,0.5673785076196046,0.718777538543215,0.7080317284396411,0.7295233486467889,1.0136079400780764,1.0009206231310583,1.0262952570250945,0.4746453255729355,0.4683202949164843,0.4809703562293868,0.7120043652237178,0.7009732655274293,0.7230354649200063,0.9940539867004934,0.9934662259000347,0.994641747500952,0.9938774571571092,0.9934299244914622,0.9943249898227564,,,,,-0.0450908185412265,-0.0513124577967734,-0.038895586825516,0.0,0.0,0.0,,,,,,
A1_fixed,mpnet_base_v2,MPNet-base-v2,90,2749,5,3,0.03,heldout_unselected_items_only_phase2_convention,False,0.5858087835357045,0.5748586369919172,0.5967589300794919,0.6833259919207559,0.6722758529138145,0.6943761309276973,0.9921944811315936,0.979209927460914,1.005179034802273,0.5001818843215715,0.493540205742109,0.506823562901034,0.6849399781738814,0.6735664735798811,0.6963134827678817,0.9935439157529312,0.9929103446663192,0.9941774868395432,0.993516221973193,0.9930030933990732,0.9940293505473128,,,,,-0.0154590851382184,-0.0205344342288659,-0.0103674634438146,0.0,0.0,0.0,,,,,,
A1_fixed,sbert_original,SBERT (original),90,2749,5,3,0.03,heldout_unselected_items_only_phase2_convention,False,0.601267868673923,0.5903691644749751,0.6121665728728709,0.6664310539721134,0.655229709494299,0.6776323984499278,0.976661814452884,0.963329256215438,0.9899943726903304,0.5134594397962896,0.5066620283450937,0.5202568512474856,0.6617315387413606,0.6503009501407274,0.6731621273419938,0.9934695818085408,0.9928665740258222,0.9940725895912592,0.9937064533469664,0.9931010741309104,0.9943118325630222,,,,,,,,,,,,,,,,
A2_tuned,bge_base_en_v15,BGE-base-en-v1.5,10,2749,5,10,0.0499999999999999,heldout_unselected_items_only_phase2_convention,False,0.2953544836937241,0.289293666388369,0.3014153009990792,1.0066267887323943,1.000229214302336,1.0130243631624525,1.2685744742046547,1.2609938043633329,1.2761551440459766,0.3245867184026514,0.3217205199274684,0.3274529168778345,0.98486318257144,0.9781711515320128,0.9915552136108672,0.6957418260452864,0.6842240821787111,0.7072595699118618,0.6616682962877709,0.6460899074644072,0.6772466851111346,,,,,0.0186292444154365,0.0153373959958632,0.0218912068120347,0.0,0.0,0.0,,,,,,
A2_tuned,e5_base_v2,E5-base-v2,10,2749,5,10,0.03,heldout_unselected_items_only_phase2_convention,False,0.2925672919930722,0.2866315321961765,0.2985030517899678,1.0101479305807604,1.003822454436034,1.0164734067254866,1.2505129185902604,1.2432522693987695,1.2577735677817512,0.3069883998221576,0.3039163603318267,0.3100604393124885,0.9880037185239078,0.9813281280276436,0.994679309020172,0.6926253110294116,0.6812928638158969,0.7039577582429263,0.6256239950365655,0.6047857163181709,0.6464622737549601,,,,,0.0158420527147845,0.0128380261921672,0.0188376840300439,0.0,0.0,0.0,,,,,,
A2_tuned,minilm_l6_v2,MiniLM-L6-v2,10,2749,5,3,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2712341991403226,0.2648236052112949,0.2776447930693503,1.0288657920999846,1.0220592069978294,1.03567237720214,1.3070418131774115,1.2989432702543589,1.3151403561004646,0.3223111434461016,0.319598792295492,0.3250234945967112,1.0109575199062286,1.0038995805726385,1.018015459239819,0.6817720649765886,0.6699826671633388,0.6935614627898384,0.6629314382567717,0.641899224930553,0.6839636515829904,,,,,-0.0054910401379649,-0.0101333282752918,-0.0008978283044447,0.0184,0.0552,0.0210285714285714,,,,,,
A2_tuned,mpnet_base_v2,MPNet-base-v2,10,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2919530456813981,0.285976285376459,0.2979298059863372,1.0079376041760952,1.0015673359831572,1.0143078723690333,1.24906730589147,1.2417506610878797,1.25638395069506,0.3067216361505193,0.3037123411281444,0.3097309311728942,0.986762863263409,0.9800542416650078,0.9934714848618104,0.6984513136153844,0.6868596639198371,0.7100429633109316,0.63630534714354,0.6097554888559559,0.6628552054311242,,,,,0.0152278064031105,0.0118472374665338,0.0185834392530201,0.0,0.0,0.0,,,,,,
A2_tuned,sbert_original,SBERT (original),10,2749,5,10,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.2767252392782875,0.2711094228116494,0.2823410557449257,1.018599347117257,1.0121456118271983,1.0250530824073154,1.2867025852028129,1.2790701018407096,1.2943350685649162,0.3205408027161391,0.3177655747280132,0.323316030704265,1.0015237864273878,0.9947568044995658,1.0082907683552098,0.6954221575704942,0.6838204859760816,0.7070238291649068,0.6429576360119515,0.615014371349665,0.6709009006742381,,,,,,,,,,,,,,,,
A2_tuned,bge_base_en_v15,BGE-base-en-v1.5,30,2749,5,15,0.0999999999999999,heldout_unselected_items_only_phase2_convention,False,0.4205478203595691,0.4147751516851953,0.4263204890339429,0.9603108660317397,0.9542870588099772,0.966334673253502,1.1606689623121045,1.1542343430726143,1.1671035815515942,0.298035649327028,0.2945185605240786,0.3015527381299773,0.9344436938107366,0.9279010857395088,0.9409863018819644,0.9067736098153338,0.9019244886672764,0.9116227309633914,0.8533588423455759,0.8468996045091477,0.8598180801820041,,,,,0.0405033004299287,0.0371861197561375,0.0437381234456671,0.0,0.0,0.0,,,,,,
