family,a_version,b_version,embedding_key,embedding_label,ratio,a_item_r_mean,a_item_r_ci_lower,a_item_r_ci_upper,b_item_r_mean,b_item_r_ci_lower,b_item_r_ci_upper,delta_selection_vs_a,delta_selection_vs_a_ci_lower,delta_selection_vs_a_ci_upper,p_selection_holm,p_selection_bh,jaccard_mean_vs_s_old,jaccard_min_vs_s_old,jaccard_max_vs_s_old,selection_changed_any_fold,delta_a_vs_sbert,delta_b_vs_sbert,best_of_pair,evidence_source_table4,evidence_source_contribution,evidence_source_overlap
fixed_params,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,10,0.2281345132593158,0.2223938885054867,0.233875138013145,0.2455896479502723,0.2397681176175914,0.2514111782829532,0.0173236522744792,0.011690308400249,0.0228881674766639,0.0,0.0,0.1764705882352941,0.1764705882352941,0.1764705882352941,True,-0.0481801713904087,-0.0307934047292477,B1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,30,0.3901082268336482,0.3844712597981037,0.3957451938691927,0.3953248714794517,0.3894582700839269,0.4011914728749765,0.0052166446458036,0.0014036110272756,0.0089996210116467,0.0152,0.008,0.2244897959183673,0.2244897959183673,0.2244897959183673,True,0.020781561303202,0.0291258249599873,B1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,50,0.4486700243948257,0.4427401773632208,0.4545998714264306,0.4592856712394835,0.4526256564196386,0.4659456860593284,0.0106156468446578,0.0065854182260409,0.0147123348989012,0.0,0.0,0.44927536231884063,0.4492753623188406,0.4492753623188406,True,0.0200803126052849,0.0277028066161514,B1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,e5_base_v2,E5-base-v2,90,0.606923191421802,0.5961405100339477,0.6177058728096562,0.4654677119645761,0.4547120170082414,0.4762234069209107,-0.1414554794572259,-0.1544132724723309,-0.1282853949832222,0.0,0.0,0.8181818181818181,0.8181818181818182,0.8181818181818182,True,0.005655322747879,-0.1358001567093469,A1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,0.2866200868824878,0.2806324415681525,0.292607732196823,0.3166986323681303,0.3110531102056498,0.3223441545306108,0.0300785454856425,0.0252452137876158,0.0348761356362513,0.0,0.0,0.25,0.25,0.25,True,0.0103054022327632,0.0403839477184057,B1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,30,0.4117905365292918,0.4062243233194162,0.4173567497391674,0.4249653845750648,0.4189974560576343,0.4309333130924952,0.0131748480457729,0.0099203100539382,0.0164454690790823,0.0,0.0,0.3043478260869565,0.3043478260869565,0.3043478260869565,True,0.0424638709988457,0.0587663380556004,B1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,50,0.4765948030703788,0.4706253855028708,0.4825642206378868,0.4657167848030815,0.4590333261383618,0.4724002434678012,-0.0108780182672972,-0.0143056708055127,-0.0073492899237558,0.0,0.0,0.5151515151515151,0.5151515151515151,0.5151515151515151,True,0.0480050912808379,0.0341339201797493,A1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
fixed_params,A1_fixed,B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,90,0.5890712334408718,0.578139320556085,0.6000031463256585,0.5464802718643814,0.5346140084499573,0.5583465352788055,-0.0425909615764902,-0.0527443474807537,-0.0323076035320373,0.0,0.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,True,-0.0121966352330512,-0.0547875968095415,A1_fixed,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,sbert_original,SBERT (original),10,0.2767252392782875,0.2711094228116494,0.2823410557449257,0.2767252392782875,0.2711094228116494,0.2823410557449257,2.5448045800835238e-17,2.4180393799787908e-17,2.670587147992764e-17,0.0,0.0,1.0,1.0,1.0,False,,,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
tuned_params,A2_tuned,B2_tuned,sbert_original,SBERT (original),30,0.3800445199296404,0.374610740724883,0.3854782991343979,0.3805156858151376,0.3751306602509962,0.385900711379279,0.0004711658854972,-0.0003237581845531,0.0012851137459849,0.7824,0.2897777777777777,0.935483870967742,0.935483870967742,0.935483870967742,True,,,B2_tuned,results/phase4/figures/table4.csv,results/phase4/versionB_selection_contribution.csv,results/phase4/versionB_selection_overlap.csv
