comparison,a_version,b_version,embedding_key,embedding_label,ratio,metric,delta_mean,ci_lower,ci_upper,p_raw,n_pairs,bootstrap_unit,bootstrap_iterations,selection_changed_any_fold,jaccard_mean_vs_s_old,p_holm,p_bh
B2_minus_A2,A2_tuned,B2_tuned,sbert_original,SBERT (original),10,per_subject_item_r,2.5448045800835235e-17,2.418039379978791e-17,2.6705871479927637e-17,0.0,2748,subjects_resampled_within_outer_fold,10000,False,1.0,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,30,per_subject_item_r,0.00673565526180336,0.0035665238483629687,0.00990374585746356,0.0002,2748,subjects_resampled_within_outer_fold,10000,True,0.30434782608695654,0.0012000000000000001,0.0002666666666666667
B2_minus_A2,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,30,per_subject_item_r,-0.023712277731035153,-0.027091952694784167,-0.0203283858456774,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.22448979591836732,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,30,per_subject_item_r,0.00026164909147987985,-0.003006248428088789,0.0035427797499345973,0.8828,2748,subjects_resampled_within_outer_fold,10000,True,0.2,0.8828,0.8827999999999999
B2_minus_A2,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,30,per_subject_item_r,-0.011765535472295417,-0.01483256808565489,-0.008677333707298172,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.30434782608695654,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,sbert_original,SBERT (original),30,per_subject_item_r,0.000471165885497201,-0.0003237581845531168,0.001285113745984968,0.2608,2748,subjects_resampled_within_outer_fold,10000,True,0.9354838709677418,0.7824,0.28977777777777775
B2_minus_A2,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,50,per_subject_item_r,-0.021487029752754294,-0.024954511288705013,-0.01793116560310217,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.5151515151515151,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,50,per_subject_item_r,-0.010325883927943622,-0.014236033789715144,-0.006415436102020101,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.44927536231884063,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,50,per_subject_item_r,0.013197166588755438,0.009201591132532033,0.01716788067094863,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.3333333333333333,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,50,per_subject_item_r,-0.001808267301305248,-0.0053886181876946744,0.0018230200735530667,0.3264,2748,subjects_resampled_within_outer_fold,10000,True,0.4084507042253521,0.7824,0.3435789473684211
B2_minus_A2,A2_tuned,B2_tuned,sbert_original,SBERT (original),50,per_subject_item_r,0.0064956815250104445,0.005006270166658371,0.00797755987430758,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.9230769230769231,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,bge_base_en_v15,BGE-base-en-v1.5,90,per_subject_item_r,-0.02019179996188993,-0.030550844652125618,-0.009732504120955126,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8947368421052632,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,e5_base_v2,E5-base-v2,90,per_subject_item_r,-0.06762340793071721,-0.07961035700006325,-0.05569028191495379,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8181818181818181,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,minilm_l6_v2,MiniLM-L6-v2,90,per_subject_item_r,-0.043639706261286486,-0.055417883433596264,-0.03203193323702838,0.0,2748,subjects_resampled_within_outer_fold,10000,True,0.8556701030927835,0.0,0.0
B2_minus_A2,A2_tuned,B2_tuned,mpnet_base_v2,MPNet-base-v2,90,per_subject_item_r,-0.01201993497910382,-0.023007926583032683,-0.0010014276778841133,0.0342,2748,subjects_resampled_within_outer_fold,10000,True,0.875,0.1368,0.040235294117647064
B2_minus_A2,A2_tuned,B2_tuned,sbert_original,SBERT (original),90,per_subject_item_r,4.428184680898219e-18,3.1564960191968814e-18,5.6706929959194164e-18,0.0,2748,subjects_resampled_within_outer_fold,10000,False,1.0,0.0,0.0
