version,embedding_key,embedding_label,ratio,fold,predictor,rounded,scoring_convention,hyperparam_source,best_K,best_tau,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,item_rmse,item_rounded_accuracy,item_rounded_mae,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,selected_S,selected_S_hash,selected_S_source,s_new_coverage,s_new_redundancy,s_old_fold_hash,s_old_coverage,s_old_redundancy,jaccard_vs_s_old,intersection_n,union_n,n_test_subjects
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,0,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.3194730153592912,0.30719733483727685,0.3317486958813055,1.020001815181817,1.2788932986356087,0.3236565656565657,0.9882020202020202,0.7381205550198647,0.5355236632699361,0.5701730630358651,0.4405986385050367,0.5524314260045343,0.5673694691670474,0.7201063818716016,"23,35,43,45,58,59,60,66,73,94",ec0db881349d9b77,coverage_selector_embedding_specific,0.8710806690581343,0.7816366087843026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.25,4,16,550
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,1,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.31355216440513306,0.30111897034190993,0.3259853584683562,1.0201148142512169,1.2732716447766337,0.3151313131313131,0.9946262626262626,0.7169722807929991,0.5257495334706388,0.5487650683994505,0.45619054177619955,0.5495965040309472,0.5594547856940469,0.7270134301754485,"23,35,43,45,58,59,60,66,73,94",ec0db881349d9b77,coverage_selector_embedding_specific,0.8710806690581343,0.7816366087843026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.25,4,16,550
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,2,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.31420483759469725,0.3014862512890181,0.3269234239003764,1.0138592569045588,1.261770003839144,0.3156161616161616,0.9842828282828283,0.7726269467884513,0.5839976111867561,0.5845637214395115,0.4536116890193767,0.5121166219067695,0.581383318068173,0.7317456215294241,"23,35,43,45,58,59,60,66,73,94",ec0db881349d9b77,coverage_selector_embedding_specific,0.8710806690581343,0.7816366087843026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.25,4,16,550
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,3,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.3115973400727883,0.29864338627030407,0.3245512938752725,1.0139009726732162,1.268201674927656,0.3196363636363636,0.9853131313131314,0.7453837477275914,0.5635046819606603,0.5041376289521716,0.4998645840427893,0.5797306447699081,0.5785242574906242,0.7070958139821455,"23,35,43,45,58,59,60,66,73,94",ec0db881349d9b77,coverage_selector_embedding_specific,0.8710806690581343,0.7816366087843026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.25,4,16,550
B1_fixed,bge_base_en_v15,BGE-base-en-v1.5,10,4,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.3246853700827522,0.31183516748213846,0.337535572683366,1.0147917273757843,1.267098720960108,0.31940902651285163,0.987350738716859,0.802854671532241,0.56587485853086,0.6332564675534631,0.40197740583068525,0.5314747700547479,0.5870876347003994,0.7360351523266203,"23,35,43,45,58,59,60,66,73,94",ec0db881349d9b77,coverage_selector_embedding_specific,0.8710806690581343,0.7816366087843026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.25,4,16,549
B1_fixed,e5_base_v2,E5-base-v2,10,0,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.24343327999877787,0.23098288904146075,0.255883670956095,1.0684685879832478,1.292655424663612,0.2736161616161616,1.0468080808080809,0.6506096839845777,0.26819485327768927,0.2931788097882802,0.2781621207937602,0.7165728450711197,0.44134366258308544,0.6639553475485322,"0,16,23,31,34,43,59,66,73,82",ddb8a8dc4781b07a,coverage_selector_embedding_specific,0.9313861276492562,0.8880157529072026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.17647058823529413,3,17,550
B1_fixed,e5_base_v2,E5-base-v2,10,1,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.24155393486633195,0.22812173516933823,0.2549861345633257,1.0657179104997943,1.2875288240733602,0.27424242424242423,1.043070707070707,0.6382458329793705,0.2406470523358793,0.2861440349267938,0.27499426079084555,0.7023310096757838,0.42847243814173464,0.6537620799710046,"0,16,23,31,34,43,59,66,73,82",ddb8a8dc4781b07a,coverage_selector_embedding_specific,0.9313861276492562,0.8880157529072026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.17647058823529413,3,17,550
B1_fixed,e5_base_v2,E5-base-v2,10,2,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.2452401552804788,0.2325818305747787,0.2578984799861789,1.0541186542680956,1.2793229820293648,0.2781818181818182,1.034181818181818,0.6835784604145163,0.23502825911368744,0.31980144074888256,0.343149652425447,0.6973538811583962,0.4557823387721859,0.6853595342806896,"0,16,23,31,34,43,59,66,73,82",ddb8a8dc4781b07a,coverage_selector_embedding_specific,0.9313861276492562,0.8880157529072026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.17647058823529413,3,17,550
B1_fixed,e5_base_v2,E5-base-v2,10,3,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.2389210782646817,0.2253257139395224,0.252516442589841,1.0570013113821572,1.2852260630377983,0.28036363636363637,1.0352323232323233,0.6654489735690684,0.2651344479516696,0.34816892307674213,0.3013379983980281,0.7014555882799866,0.456309186255099,0.660766286365692,"0,16,23,31,34,43,59,66,73,82",ddb8a8dc4781b07a,coverage_selector_embedding_specific,0.9313861276492562,0.8880157529072026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.17647058823529413,3,17,550
B1_fixed,e5_base_v2,E5-base-v2,10,4,SoftmaxKNN,False,heldout_unselected_items_only_phase2_convention,phase2_fixed_preregistered_softmax,7,0.1,0.2588192891239136,0.24581124669877188,0.2718273315490553,1.0605728254641746,1.2828497591348715,0.2764824934223841,1.039324023477029,0.7084510121251778,0.2560218909497376,0.3239743648726728,0.23926695290919686,0.7007324683777861,0.4456893378469142,0.6880481405966965,"0,16,23,31,34,43,59,66,73,82",ddb8a8dc4781b07a,coverage_selector_embedding_specific,0.9313861276492562,0.8880157529072026,92745849571d4031,0.8111275356842519,0.6411336607517674,0.17647058823529413,3,17,549
