embedding_key,embedding_label,ratio,fold,version_scope,s_new_hash,s_old_fold_hash,s_new_size,s_old_size,intersection_n,union_n,jaccard_overlap,selection_changed,items_only_in_s_new,items_only_in_s_old,s_new_coverage,s_new_redundancy,s_old_coverage,s_old_redundancy
minilm_l6_v2,MiniLM-L6-v2,10,3,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,10,4,B1_and_B2_shared_selection,6a6a2a502b884a35,92745849571d4031,10,10,2,18,0.1111111111111111,True,"11,18,28,43,65,73,78,97","12,40,41,48,59,66,67,80",0.7503406568520229,0.5935861805430829,0.8111275356842519,0.6411336607517674
minilm_l6_v2,MiniLM-L6-v2,30,0,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
minilm_l6_v2,MiniLM-L6-v2,30,1,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
minilm_l6_v2,MiniLM-L6-v2,30,2,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
minilm_l6_v2,MiniLM-L6-v2,30,3,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
minilm_l6_v2,MiniLM-L6-v2,30,4,B1_and_B2_shared_selection,bad524b73607dd87,62099f7a34f67aa9,30,30,10,50,0.2,True,"2,5,10,11,16,18,27,38,44,56,57,60,62,65,68,70,78,79,91,97","4,7,20,25,29,31,35,36,41,42,45,47,48,49,50,66,77,80,83,86",0.8364934175915859,0.6002675741078065,0.8829888945012074,0.6164002583578039
minilm_l6_v2,MiniLM-L6-v2,50,0,B1_and_B2_shared_selection,61a3f94b6fb57ce0,d172a87b5a6e4875,50,50,25,75,0.3333333333333333,True,"1,2,6,10,11,14,15,16,18,19,38,44,52,56,57,60,65,68,70,74,78,81,89,91,97","4,8,9,13,21,25,29,31,35,36,41,42,45,47,48,49,50,58,69,72,80,84,86,90,96",0.8968412566750569,0.5915875000439267,0.930037828572538,0.6265620656816998
minilm_l6_v2,MiniLM-L6-v2,50,1,B1_and_B2_shared_selection,61a3f94b6fb57ce0,d172a87b5a6e4875,50,50,25,75,0.3333333333333333,True,"1,2,6,10,11,14,15,16,18,19,38,44,52,56,57,60,65,68,70,74,78,81,89,91,97","4,8,9,13,21,25,29,31,35,36,41,42,45,47,48,49,50,58,69,72,80,84,86,90,96",0.8968412566750569,0.5915875000439267,0.930037828572538,0.6265620656816998
minilm_l6_v2,MiniLM-L6-v2,50,2,B1_and_B2_shared_selection,61a3f94b6fb57ce0,d172a87b5a6e4875,50,50,25,75,0.3333333333333333,True,"1,2,6,10,11,14,15,16,18,19,38,44,52,56,57,60,65,68,70,74,78,81,89,91,97","4,8,9,13,21,25,29,31,35,36,41,42,45,47,48,49,50,58,69,72,80,84,86,90,96",0.8968412566750569,0.5915875000439267,0.930037828572538,0.6265620656816998
minilm_l6_v2,MiniLM-L6-v2,50,3,B1_and_B2_shared_selection,61a3f94b6fb57ce0,d172a87b5a6e4875,50,50,25,75,0.3333333333333333,True,"1,2,6,10,11,14,15,16,18,19,38,44,52,56,57,60,65,68,70,74,78,81,89,91,97","4,8,9,13,21,25,29,31,35,36,41,42,45,47,48,49,50,58,69,72,80,84,86,90,96",0.8968412566750569,0.5915875000439267,0.930037828572538,0.6265620656816998
minilm_l6_v2,MiniLM-L6-v2,50,4,B1_and_B2_shared_selection,61a3f94b6fb57ce0,d172a87b5a6e4875,50,50,25,75,0.3333333333333333,True,"1,2,6,10,11,14,15,16,18,19,38,44,52,56,57,60,65,68,70,74,78,81,89,91,97","4,8,9,13,21,25,29,31,35,36,41,42,45,47,48,49,50,58,69,72,80,84,86,90,96",0.8968412566750569,0.5915875000439267,0.930037828572538,0.6265620656816998
minilm_l6_v2,MiniLM-L6-v2,90,0,B1_and_B2_shared_selection,4554bd3645a8b3db,e4aca0f6b9e84075,90,90,83,97,0.8556701030927835,True,"24,46,54,60,64,76,99","31,36,50,58,63,80,82",0.9877861496887302,0.5982106601820508,0.9945457838532562,0.628319119336572
